Membership No  Date Joined  Active  
    39139      2018-6-5     no    
    57459      2018-3-6     no    
    95555      2020-7-3     no    
    65430      2017-12-4    no    
    67393      2016-10-20   no    
    36648      2016-4-15    no    
    37910      2020-12-1    no    
    62390      2017-1-3     no    
    62082      2015-1-4     no    
    87300      2016-2-19    no    
    95930      2017-10-12   no    
    27595      2020-11-3    no    
    96426      2019-5-23    no    
    97818      2017-11-4    no    
    91026      2017-11-22   no    
    65430      2017-12-4    no    
    67393      2016-10-20   no    
    36648      2016-4-15    no    
    37910      2020-12-1    no    
    62390      2017-1-3     no    
    62082      2015-1-4     no    
    87300      2016-2-19    no    
    95930      2017-10-12   no    
    27595      2020-11-3    no    
    96426      2019-5-23    no    
    97818      2017-11-4    no    
    91026      2017-11-22   no    
