Membership No  Date Joined  Active  
    57284      2015-10-24   yes   
    65430      2017-12-4    no    
    52801      2020-2-18    yes   
    67393      2016-10-20   no    
    75455      2018-8-9     yes   
    36648      2016-4-15    no    
    37910      2020-12-1    no    
    58317      2015-4-2     yes   
    38060      2015-3-11    yes   
    39266      2016-7-8     yes   
    62390      2017-1-3     no    
    16394      2015-6-24    yes   
    62082      2015-1-4     no    
    98556      2020-4-17    yes   
    87300      2016-2-19    no    
    95930      2017-10-12   no    
    27595      2020-11-3    no    
    96426      2019-5-23    no    
    97818      2017-11-4    no    
    91026      2017-11-22   no    
    57284      2015-10-24   yes   
    52801      2020-2-18    yes   
    75455      2018-8-9     yes   
    58317      2015-4-2     yes   
    38060      2015-3-11    yes   
    39266      2016-7-8     yes   
    16394      2015-6-24    yes   
    98556      2020-4-17    yes   
    57284      2015-10-24   yes   
    52801      2020-2-18    yes   
    75455      2018-8-9     yes   
    58317      2015-4-2     yes   
    38060      2015-3-11    yes   
    39266      2016-7-8     yes   
    16394      2015-6-24    yes   
    98556      2020-4-17    yes   
    57284      2015-10-24   yes   
    52801      2020-2-18    yes   
    75455      2018-8-9     yes   
    58317      2015-4-2     yes   
    38060      2015-3-11    yes   
    39266      2016-7-8     yes   
    16394      2015-6-24    yes   
    98556      2020-4-17    yes   
