Membership No  Date Joined  Active  
    29270      2018-3-4     no    
    40916      2016-8-25    no    
    39169      2019-9-14    no    
    46770      2017-7-6     no    
    43629      2019-4-5     no    
    13740      2016-3-5     no    
    36695      2015-8-5     no    
    49851      2016-4-7     no    
    63152      2020-6-1     no    
    26540      2016-11-14   no    
    58654      2017-8-21    no    
    28508      2017-2-14    no    
    36435      2017-2-21    no    
    65787      2018-11-25   no    
    46770      2017-7-6     no    
    43629      2019-4-5     no    
    13740      2016-3-5     no    
    36695      2015-8-5     no    
    49851      2016-4-7     no    
    63152      2020-6-1     no    
    26540      2016-11-14   no    
    58654      2017-8-21    no    
    28508      2017-2-14    no    
    36435      2017-2-21    no    
    65787      2018-11-25   no    
    46770      2017-7-6     no    
    43629      2019-4-5     no    
    13740      2016-3-5     no    
    36695      2015-8-5     no    
    49851      2016-4-7     no    
    63152      2020-6-1     no    
    26540      2016-11-14   no    
    58654      2017-8-21    no    
    28508      2017-2-14    no    
    36435      2017-2-21    no    
    65787      2018-11-25   no    
    46770      2017-7-6     no    
    43629      2019-4-5     no    
    13740      2016-3-5     no    
    36695      2015-8-5     no    
    49851      2016-4-7     no    
    63152      2020-6-1     no    
    26540      2016-11-14   no    
    58654      2017-8-21    no    
    28508      2017-2-14    no    
    36435      2017-2-21    no    
    65787      2018-11-25   no    
    46770      2017-7-6     no    
    43629      2019-4-5     no    
    13740      2016-3-5     no    
    36695      2015-8-5     no    
    49851      2016-4-7     no    
    63152      2020-6-1     no    
    26540      2016-11-14   no    
    58654      2017-8-21    no    
    28508      2017-2-14    no    
    36435      2017-2-21    no    
    65787      2018-11-25   no    
    46770      2017-7-6     no    
    43629      2019-4-5     no    
    13740      2016-3-5     no    
    36695      2015-8-5     no    
    49851      2016-4-7     no    
    63152      2020-6-1     no    
    26540      2016-11-14   no    
    58654      2017-8-21    no    
    28508      2017-2-14    no    
    36435      2017-2-21    no    
    65787      2018-11-25   no    
    46770      2017-7-6     no    
    43629      2019-4-5     no    
    13740      2016-3-5     no    
    36695      2015-8-5     no    
    49851      2016-4-7     no    
    63152      2020-6-1     no    
    26540      2016-11-14   no    
    58654      2017-8-21    no    
    28508      2017-2-14    no    
    36435      2017-2-21    no    
    65787      2018-11-25   no    
    46770      2017-7-6     no    
    43629      2019-4-5     no    
    13740      2016-3-5     no    
    36695      2015-8-5     no    
    49851      2016-4-7     no    
    63152      2020-6-1     no    
    26540      2016-11-14   no    
    58654      2017-8-21    no    
    28508      2017-2-14    no    
    36435      2017-2-21    no    
    65787      2018-11-25   no    
