Membership No  Date Joined  Active  
    46770      2017-7-6     no    
    52950      2018-4-1     yes   
    43629      2019-4-5     no    
    55175      2018-6-15    yes   
    74158      2015-11-23   yes   
    94113      2019-4-1     yes   
    51246      2017-2-13    yes   
    13740      2016-3-5     no    
    36695      2015-8-5     no    
    44537      2019-9-15    yes   
    49851      2016-4-7     no    
    63152      2020-6-1     no    
    53855      2015-1-13    yes   
    26540      2016-11-14   no    
    58654      2017-8-21    no    
    38750      2015-2-5     yes   
    28508      2017-2-14    no    
    17926      2020-10-18   yes   
    36435      2017-2-21    no    
    65787      2018-11-25   no    
    52950      2018-4-1     yes   
    55175      2018-6-15    yes   
    74158      2015-11-23   yes   
    94113      2019-4-1     yes   
    51246      2017-2-13    yes   
    44537      2019-9-15    yes   
    53855      2015-1-13    yes   
    38750      2015-2-5     yes   
    17926      2020-10-18   yes   
    52950      2018-4-1     yes   
    55175      2018-6-15    yes   
    74158      2015-11-23   yes   
    94113      2019-4-1     yes   
    51246      2017-2-13    yes   
    44537      2019-9-15    yes   
    53855      2015-1-13    yes   
    38750      2015-2-5     yes   
    17926      2020-10-18   yes   
    52950      2018-4-1     yes   
    55175      2018-6-15    yes   
    74158      2015-11-23   yes   
    94113      2019-4-1     yes   
    51246      2017-2-13    yes   
    44537      2019-9-15    yes   
    53855      2015-1-13    yes   
    38750      2015-2-5     yes   
    17926      2020-10-18   yes   
    52950      2018-4-1     yes   
    55175      2018-6-15    yes   
    74158      2015-11-23   yes   
    94113      2019-4-1     yes   
    51246      2017-2-13    yes   
    44537      2019-9-15    yes   
    53855      2015-1-13    yes   
    38750      2015-2-5     yes   
    17926      2020-10-18   yes   
    52950      2018-4-1     yes   
    55175      2018-6-15    yes   
    74158      2015-11-23   yes   
    94113      2019-4-1     yes   
    51246      2017-2-13    yes   
    44537      2019-9-15    yes   
    53855      2015-1-13    yes   
    38750      2015-2-5     yes   
    17926      2020-10-18   yes   
    52950      2018-4-1     yes   
    55175      2018-6-15    yes   
    74158      2015-11-23   yes   
    94113      2019-4-1     yes   
    51246      2017-2-13    yes   
    44537      2019-9-15    yes   
    53855      2015-1-13    yes   
    38750      2015-2-5     yes   
    17926      2020-10-18   yes   
    52950      2018-4-1     yes   
    55175      2018-6-15    yes   
    74158      2015-11-23   yes   
    94113      2019-4-1     yes   
    51246      2017-2-13    yes   
    44537      2019-9-15    yes   
    53855      2015-1-13    yes   
    38750      2015-2-5     yes   
    17926      2020-10-18   yes   
    52950      2018-4-1     yes   
    55175      2018-6-15    yes   
    74158      2015-11-23   yes   
    94113      2019-4-1     yes   
    51246      2017-2-13    yes   
    44537      2019-9-15    yes   
    53855      2015-1-13    yes   
    38750      2015-2-5     yes   
    17926      2020-10-18   yes   
    52950      2018-4-1     yes   
    55175      2018-6-15    yes   
    74158      2015-11-23   yes   
    94113      2019-4-1     yes   
    51246      2017-2-13    yes   
    44537      2019-9-15    yes   
    53855      2015-1-13    yes   
    38750      2015-2-5     yes   
    17926      2020-10-18   yes   
    52950      2018-4-1     yes   
    55175      2018-6-15    yes   
    74158      2015-11-23   yes   
    94113      2019-4-1     yes   
    51246      2017-2-13    yes   
    44537      2019-9-15    yes   
    53855      2015-1-13    yes   
    38750      2015-2-5     yes   
    17926      2020-10-18   yes   
    52950      2018-4-1     yes   
    55175      2018-6-15    yes   
    74158      2015-11-23   yes   
    94113      2019-4-1     yes   
    51246      2017-2-13    yes   
    44537      2019-9-15    yes   
    53855      2015-1-13    yes   
    38750      2015-2-5     yes   
    17926      2020-10-18   yes   
    52950      2018-4-1     yes   
    55175      2018-6-15    yes   
    74158      2015-11-23   yes   
    94113      2019-4-1     yes   
    51246      2017-2-13    yes   
    44537      2019-9-15    yes   
    53855      2015-1-13    yes   
    38750      2015-2-5     yes   
    17926      2020-10-18   yes   
    52950      2018-4-1     yes   
    55175      2018-6-15    yes   
    74158      2015-11-23   yes   
    94113      2019-4-1     yes   
    51246      2017-2-13    yes   
    44537      2019-9-15    yes   
    53855      2015-1-13    yes   
    38750      2015-2-5     yes   
    17926      2020-10-18   yes   
    52950      2018-4-1     yes   
    55175      2018-6-15    yes   
    74158      2015-11-23   yes   
    94113      2019-4-1     yes   
    51246      2017-2-13    yes   
    44537      2019-9-15    yes   
    53855      2015-1-13    yes   
    38750      2015-2-5     yes   
    17926      2020-10-18   yes   
    52950      2018-4-1     yes   
    55175      2018-6-15    yes   
    74158      2015-11-23   yes   
    94113      2019-4-1     yes   
    51246      2017-2-13    yes   
    44537      2019-9-15    yes   
    53855      2015-1-13    yes   
    38750      2015-2-5     yes   
    17926      2020-10-18   yes   
    52950      2018-4-1     yes   
    55175      2018-6-15    yes   
    74158      2015-11-23   yes   
    94113      2019-4-1     yes   
    51246      2017-2-13    yes   
    44537      2019-9-15    yes   
    53855      2015-1-13    yes   
    38750      2015-2-5     yes   
    17926      2020-10-18   yes   
    52950      2018-4-1     yes   
    55175      2018-6-15    yes   
    74158      2015-11-23   yes   
    94113      2019-4-1     yes   
    51246      2017-2-13    yes   
    44537      2019-9-15    yes   
    53855      2015-1-13    yes   
    38750      2015-2-5     yes   
    17926      2020-10-18   yes   
    52950      2018-4-1     yes   
    55175      2018-6-15    yes   
    74158      2015-11-23   yes   
    94113      2019-4-1     yes   
    51246      2017-2-13    yes   
    44537      2019-9-15    yes   
    53855      2015-1-13    yes   
    38750      2015-2-5     yes   
    17926      2020-10-18   yes   
    52950      2018-4-1     yes   
    55175      2018-6-15    yes   
    74158      2015-11-23   yes   
    94113      2019-4-1     yes   
    51246      2017-2-13    yes   
    44537      2019-9-15    yes   
    53855      2015-1-13    yes   
    38750      2015-2-5     yes   
    17926      2020-10-18   yes   
    52950      2018-4-1     yes   
    55175      2018-6-15    yes   
    74158      2015-11-23   yes   
    94113      2019-4-1     yes   
    51246      2017-2-13    yes   
    44537      2019-9-15    yes   
    53855      2015-1-13    yes   
    38750      2015-2-5     yes   
    17926      2020-10-18   yes   
    52950      2018-4-1     yes   
    55175      2018-6-15    yes   
    74158      2015-11-23   yes   
    94113      2019-4-1     yes   
    51246      2017-2-13    yes   
    44537      2019-9-15    yes   
    53855      2015-1-13    yes   
    38750      2015-2-5     yes   
    17926      2020-10-18   yes   
    52950      2018-4-1     yes   
    55175      2018-6-15    yes   
    74158      2015-11-23   yes   
    94113      2019-4-1     yes   
    51246      2017-2-13    yes   
    44537      2019-9-15    yes   
    53855      2015-1-13    yes   
    38750      2015-2-5     yes   
    17926      2020-10-18   yes   
    52950      2018-4-1     yes   
    55175      2018-6-15    yes   
    74158      2015-11-23   yes   
    94113      2019-4-1     yes   
    51246      2017-2-13    yes   
    44537      2019-9-15    yes   
    53855      2015-1-13    yes   
    38750      2015-2-5     yes   
    17926      2020-10-18   yes   
    52950      2018-4-1     yes   
    55175      2018-6-15    yes   
    74158      2015-11-23   yes   
    94113      2019-4-1     yes   
    51246      2017-2-13    yes   
    44537      2019-9-15    yes   
    53855      2015-1-13    yes   
    38750      2015-2-5     yes   
    17926      2020-10-18   yes   
    52950      2018-4-1     yes   
    55175      2018-6-15    yes   
    74158      2015-11-23   yes   
    94113      2019-4-1     yes   
    51246      2017-2-13    yes   
    44537      2019-9-15    yes   
    53855      2015-1-13    yes   
    38750      2015-2-5     yes   
    17926      2020-10-18   yes   
    52950      2018-4-1     yes   
    55175      2018-6-15    yes   
    74158      2015-11-23   yes   
    94113      2019-4-1     yes   
    51246      2017-2-13    yes   
    44537      2019-9-15    yes   
    53855      2015-1-13    yes   
    38750      2015-2-5     yes   
    17926      2020-10-18   yes   
    52950      2018-4-1     yes   
    55175      2018-6-15    yes   
    74158      2015-11-23   yes   
    94113      2019-4-1     yes   
    51246      2017-2-13    yes   
    44537      2019-9-15    yes   
    53855      2015-1-13    yes   
    38750      2015-2-5     yes   
    17926      2020-10-18   yes   
    52950      2018-4-1     yes   
    55175      2018-6-15    yes   
    74158      2015-11-23   yes   
    94113      2019-4-1     yes   
    51246      2017-2-13    yes   
    44537      2019-9-15    yes   
    53855      2015-1-13    yes   
    38750      2015-2-5     yes   
    17926      2020-10-18   yes   
    52950      2018-4-1     yes   
    55175      2018-6-15    yes   
    74158      2015-11-23   yes   
    94113      2019-4-1     yes   
    51246      2017-2-13    yes   
    44537      2019-9-15    yes   
    53855      2015-1-13    yes   
    38750      2015-2-5     yes   
    17926      2020-10-18   yes   
    52950      2018-4-1     yes   
    55175      2018-6-15    yes   
    74158      2015-11-23   yes   
    94113      2019-4-1     yes   
    51246      2017-2-13    yes   
    44537      2019-9-15    yes   
    53855      2015-1-13    yes   
    38750      2015-2-5     yes   
    17926      2020-10-18   yes   
    52950      2018-4-1     yes   
    55175      2018-6-15    yes   
    74158      2015-11-23   yes   
    94113      2019-4-1     yes   
    51246      2017-2-13    yes   
    44537      2019-9-15    yes   
    53855      2015-1-13    yes   
    38750      2015-2-5     yes   
    17926      2020-10-18   yes   
    52950      2018-4-1     yes   
    55175      2018-6-15    yes   
    74158      2015-11-23   yes   
    94113      2019-4-1     yes   
    51246      2017-2-13    yes   
    44537      2019-9-15    yes   
    53855      2015-1-13    yes   
    38750      2015-2-5     yes   
    17926      2020-10-18   yes   
    52950      2018-4-1     yes   
    55175      2018-6-15    yes   
    74158      2015-11-23   yes   
    94113      2019-4-1     yes   
    51246      2017-2-13    yes   
    44537      2019-9-15    yes   
    53855      2015-1-13    yes   
    38750      2015-2-5     yes   
    17926      2020-10-18   yes   
    52950      2018-4-1     yes   
    55175      2018-6-15    yes   
    74158      2015-11-23   yes   
    94113      2019-4-1     yes   
    51246      2017-2-13    yes   
    44537      2019-9-15    yes   
    53855      2015-1-13    yes   
    38750      2015-2-5     yes   
    17926      2020-10-18   yes   
    52950      2018-4-1     yes   
    55175      2018-6-15    yes   
    74158      2015-11-23   yes   
    94113      2019-4-1     yes   
    51246      2017-2-13    yes   
    44537      2019-9-15    yes   
    53855      2015-1-13    yes   
    38750      2015-2-5     yes   
    17926      2020-10-18   yes   
    52950      2018-4-1     yes   
    55175      2018-6-15    yes   
    74158      2015-11-23   yes   
    94113      2019-4-1     yes   
    51246      2017-2-13    yes   
    44537      2019-9-15    yes   
    53855      2015-1-13    yes   
    38750      2015-2-5     yes   
    17926      2020-10-18   yes   
    52950      2018-4-1     yes   
    55175      2018-6-15    yes   
    74158      2015-11-23   yes   
    94113      2019-4-1     yes   
    51246      2017-2-13    yes   
    44537      2019-9-15    yes   
    53855      2015-1-13    yes   
    38750      2015-2-5     yes   
    17926      2020-10-18   yes   
    52950      2018-4-1     yes   
    55175      2018-6-15    yes   
    74158      2015-11-23   yes   
    94113      2019-4-1     yes   
    51246      2017-2-13    yes   
    44537      2019-9-15    yes   
    53855      2015-1-13    yes   
    38750      2015-2-5     yes   
    17926      2020-10-18   yes   
    52950      2018-4-1     yes   
    55175      2018-6-15    yes   
    74158      2015-11-23   yes   
    94113      2019-4-1     yes   
    51246      2017-2-13    yes   
    44537      2019-9-15    yes   
    53855      2015-1-13    yes   
    38750      2015-2-5     yes   
    17926      2020-10-18   yes   
    52950      2018-4-1     yes   
    55175      2018-6-15    yes   
    74158      2015-11-23   yes   
    94113      2019-4-1     yes   
    51246      2017-2-13    yes   
    44537      2019-9-15    yes   
    53855      2015-1-13    yes   
    38750      2015-2-5     yes   
    17926      2020-10-18   yes   
    52950      2018-4-1     yes   
    55175      2018-6-15    yes   
    74158      2015-11-23   yes   
    94113      2019-4-1     yes   
    51246      2017-2-13    yes   
    44537      2019-9-15    yes   
    53855      2015-1-13    yes   
    38750      2015-2-5     yes   
    17926      2020-10-18   yes   
    52950      2018-4-1     yes   
    55175      2018-6-15    yes   
    74158      2015-11-23   yes   
    94113      2019-4-1     yes   
    51246      2017-2-13    yes   
    44537      2019-9-15    yes   
    53855      2015-1-13    yes   
    38750      2015-2-5     yes   
    17926      2020-10-18   yes   
    52950      2018-4-1     yes   
    55175      2018-6-15    yes   
    74158      2015-11-23   yes   
    94113      2019-4-1     yes   
    51246      2017-2-13    yes   
    44537      2019-9-15    yes   
    53855      2015-1-13    yes   
    38750      2015-2-5     yes   
    17926      2020-10-18   yes   
    52950      2018-4-1     yes   
    55175      2018-6-15    yes   
    74158      2015-11-23   yes   
    94113      2019-4-1     yes   
